Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
324;7023;Rozmiar:select:0;13x18 cm:0;-plakat-13x18-cm;-plakat-13x18-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/7023_2.jpg; – Czarno-biały plakat typograficzny z dużym znakiem „&” i tekstem pod spodem;0;0;0;0
324;7023;Rozmiar:select:0;21x30 cm:0;-plakat-21x30-cm;-plakat-21x30-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/7023_2.jpg; – Czarno-biały plakat typograficzny z dużym znakiem „&” i tekstem pod spodem;0;0;0;0
324;7023;Rozmiar:select:0;30x40 cm:0;-plakat-30x40-cm;-plakat-30x40-cm;;;;32.520326;0;100;1;0;0;0.2;0;;1;/var/www/html/images/7023_2.jpg; – Czarno-biały plakat typograficzny z dużym znakiem „&” i tekstem pod spodem;0;0;0;0
324;7023;Rozmiar:select:0;40x50 cm:0;-plakat-40x50-cm;-plakat-40x50-cm;;;;48.780488;0;100;1;0;0;0.3;0;;1;/var/www/html/images/7023_2.jpg; – Czarno-biały plakat typograficzny z dużym znakiem „&” i tekstem pod spodem;0;0;0;0
324;7023;Rozmiar:select:0;50x70 cm:0;-plakat-50x70-cm;-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.4;0;;1;/var/www/html/images/7023_2.jpg; – Czarno-biały plakat typograficzny z dużym znakiem „&” i tekstem pod spodem;0;0;0;0
325;7771;Rozmiar:select:0;30x40 cm:0;-gold-plakat-30x40-cm;-gold-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/7771_2.jpg; – Biało-złoty obraz typograficzny ze złotym znakiem ampersand na białym tle;0;0;0;0
326;2623;Rozmiar:select:0;30x40 cm:0;letter-j-plakat-30x40-cm;letter-j-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2623_2.jpg;Letter J Plakat / Plakaty z napisami w Desenio AB (2623);0;0;0;0
326;2623;Rozmiar:select:0;50x70 cm:0;letter-j-plakat-50x70-cm;letter-j-plakat-50x70-cm;;;;32.520325;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2623_2.jpg;Letter J Plakat / Plakaty z napisami w Desenio AB (2623);0;0;0;0
327;14051;Rozmiar:select:0;21x30 cm:0;l-o-v-e-no1-plakat-21x30-cm;l-o-v-e-no1-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/14051_2.jpg; – Plakat typograficzny z graficznymi literami „L” i „O”;0;0;0;0
327;14051;Rozmiar:select:0;30x40 cm:0;l-o-v-e-no1-plakat-30x40-cm;l-o-v-e-no1-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/14051_2.jpg; – Plakat typograficzny z graficznymi literami „L” i „O”;0;0;0;0
327;14051;Rozmiar:select:0;50x70 cm:0;l-o-v-e-no1-plakat-50x70-cm;l-o-v-e-no1-plakat-50x70-cm;;;;48.780488;0;100;1;0;0;0.2;0;;1;/var/www/html/images/14051_2.jpg; – Plakat typograficzny z graficznymi literami „L” i „O”;0;0;0;0
328;15085;Rozmiar:select:0;21x30 cm:0;level-up-plakat-21x30-cm;level-up-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/15085_2.jpg; – Czarno-biały plakat z tekstem „Level up” w kolorze białym, na czarnym tle;0;0;0;0
328;15085;Rozmiar:select:0;30x40 cm:0;level-up-plakat-30x40-cm;level-up-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/15085_2.jpg; – Czarno-biały plakat z tekstem „Level up” w kolorze białym, na czarnym tle;0;0;0;0
329;2620;Rozmiar:select:0;30x40 cm:0;letter-g-plakat-30x40-cm;letter-g-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2620_2.jpg;Letter G Plakat / Plakaty z napisami w Desenio AB (2620);0;0;0;0
329;2620;Rozmiar:select:0;50x70 cm:0;letter-g-plakat-50x70-cm;letter-g-plakat-50x70-cm;;;;32.520325;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2620_2.jpg;Letter G Plakat / Plakaty z napisami w Desenio AB (2620);0;0;0;0
330;2626;Rozmiar:select:0;30x40 cm:0;letter-m-plakat-30x40-cm;letter-m-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2626_2.jpg;Letter M Plakat / Plakaty z napisami w Desenio AB (2626);0;0;0;0
330;2626;Rozmiar:select:0;50x70 cm:0;letter-m-plakat-50x70-cm;letter-m-plakat-50x70-cm;;;;32.520325;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2626_2.jpg;Letter M Plakat / Plakaty z napisami w Desenio AB (2626);0;0;0;0
331;8675;Rozmiar:select:0;30x40 cm:0;ampersand-overlay-plakat-30x40-cm;ampersand-overlay-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/8675_2.jpg;Ampersand Overlay Plakat / Plakaty z napisami w Desenio AB (8675);0;0;0;0
