Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
7;12695;Rozmiar:select:0;30x40 cm:0;abstract-figures-no2-plakat-30x40-cm;abstract-figures-no2-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/12695_2.jpg; – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;0;0;0;0
7;12695;Rozmiar:select:0;50x70 cm:0;abstract-figures-no2-plakat-50x70-cm;abstract-figures-no2-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.2;0;;1;http://localhost/images/12695_2.jpg; – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;0;0;0;0
7;12695;Rozmiar:select:0;70x100 cm:0;abstract-figures-no2-plakat-70x100-cm;abstract-figures-no2-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.3;0;;1;http://localhost/images/12695_2.jpg; – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;0;0;0;0
8;12694;Rozmiar:select:0;21x30 cm:0;abstract-figures-no1-plakat-21x30-cm;abstract-figures-no1-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/12694_2.jpg; – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;0;0;0;0
8;12694;Rozmiar:select:0;30x40 cm:0;abstract-figures-no1-plakat-30x40-cm;abstract-figures-no1-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/12694_2.jpg; – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;0;0;0;0
8;12694;Rozmiar:select:0;50x70 cm:0;abstract-figures-no1-plakat-50x70-cm;abstract-figures-no1-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.2;0;;1;http://localhost/images/12694_2.jpg; – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;0;0;0;0
8;12694;Rozmiar:select:0;70x100 cm:0;abstract-figures-no1-plakat-70x100-cm;abstract-figures-no1-plakat-70x100-cm;;;;89.430895;0;100;1;0;0;0.3;0;;1;http://localhost/images/12694_2.jpg; – Grafika geometryczna z abstrakcyjną sylwetką ludzką, narysowana w czarnym kolorze na beżowym tle;0;0;0;0
9;pre0004;Rozmiar:select:0;30x40 cm:0;antibes-plakat-30x40-cm;antibes-plakat-30x40-cm;;;;-0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/pre0004_2.jpg;– Rysunek z grafiką geometryczną przedstawiającą ciało abstrakcyjnymi liniami;0;0;0;0
9;pre0004;Rozmiar:select:0;50x70 cm:0;antibes-plakat-50x70-cm;antibes-plakat-50x70-cm;;;;40.650406;0;100;1;0;0;0.1;0;;1;http://localhost/images/pre0004_2.jpg;– Rysunek z grafiką geometryczną przedstawiającą ciało abstrakcyjnymi liniami;0;0;0;0
9;pre0004;Rozmiar:select:0;70x100 cm:0;antibes-plakat-70x100-cm;antibes-plakat-70x100-cm;;;;73.170732;0;100;1;0;0;0.2;0;;1;http://localhost/images/pre0004_2.jpg;– Rysunek z grafiką geometryczną przedstawiającą ciało abstrakcyjnymi liniami;0;0;0;0
10;13286;Rozmiar:select:0;21x30 cm:0;weimar-shapes-no1-plakat-21x30-cm;weimar-shapes-no1-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/13286_2.jpg; – Ilustracja w kolorze czarnym, brązowym i szarym z geometrycznymi kształtami na beżowym tle;0;0;0;0
10;13286;Rozmiar:select:0;30x40 cm:0;weimar-shapes-no1-plakat-30x40-cm;weimar-shapes-no1-plakat-30x40-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/13286_2.jpg; – Ilustracja w kolorze czarnym, brązowym i szarym z geometrycznymi kształtami na beżowym tle;0;0;0;0
10;13286;Rozmiar:select:0;50x70 cm:0;weimar-shapes-no1-plakat-50x70-cm;weimar-shapes-no1-plakat-50x70-cm;;;;65.040651;0;100;1;0;0;0.2;0;;1;http://localhost/images/13286_2.jpg; – Ilustracja w kolorze czarnym, brązowym i szarym z geometrycznymi kształtami na beżowym tle;0;0;0;0
11;13285;Rozmiar:select:0;21x30 cm:0;weimar-circles-no2-plakat-21x30-cm;weimar-circles-no2-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/13285_2.jpg; – Graficzny plakat z kształtami w kolorze czarnym, brązowym i szarym na beżowym tle;0;0;0;0
